Id,Label,kingdom,phylum,class,order,family,genus,species,category,taxon,aggregate
Rhinocheilus lecontei,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Rhinocheilus,Rhinocheilus lecontei,vert.ecto,Reptile,Rhinocheilus lecontei
Salvadora hexalepis,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Salvadora,Salvadora hexalepis,vert.ecto,Reptile,Salvadora hexalepis
Crotaphytus collaris,,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,Crotaphytus collaris,vert.ecto,Reptile,Crotaphytus collaris
Dipsosaurus dorsalis,,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Dipsosaurus,Dipsosaurus dorsalis,vert.ecto,Reptile,Dipsosaurus dorsalis
Gopherus agassizii,,Animalia,Chordata,NA,NA,Testudinidae,Gopherus,Gopherus agassizii,vert.ecto,Reptile,Gopherus agassizii
Phrynosoma platyrhinos,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma platyrhinos,vert.ecto,Reptile,Phrynosoma platyrhinos
Sauromalus ater,,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater,vert.ecto,Reptile,Sauromalus ater
Sceloporus graciosus,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,Sceloporus graciosus,vert.ecto,Reptile,Sceloporus graciosus
Sceloporus occidentalis,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,Sceloporus occidentalis,vert.ecto,Reptile,Sceloporus occidentalis
Sceloporus uniformis,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,Sceloporus uniformis,vert.ecto,Reptile,Sceloporus uniformis
Uta stansburiana,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Uta,Uta stansburiana,vert.ecto,Reptile,Uta stansburiana
