Id,Label,kingdom,phylum,class,order,family,genus,species,category,taxon,aggregate
Spizella passerina,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,Spizella passerina,vert.endo,Bird,Spizella passerina
Streptopelia decaocto,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,Streptopelia decaocto,vert.endo,Bird,Streptopelia decaocto
Sturnella neglecta,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,Sturnella neglecta,vert.endo,Bird,Sturnella neglecta
Sturnus vulgaris,,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,vert.endo,Bird,Sturnus vulgaris
Toxostoma bendirei,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma bendirei,vert.endo,Bird,Toxostoma bendirei
Toxostoma crissale,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma crissale,vert.endo,Bird,Toxostoma crissale
Toxostoma curvirostre,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma curvirostre,vert.endo,Bird,Toxostoma curvirostre
Toxostoma lecontei,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma lecontei,vert.endo,Bird,Toxostoma lecontei
Toxostoma redivivum,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma redivivum,vert.endo,Bird,Toxostoma redivivum
Turdus migratorius,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius,vert.endo,Bird,Turdus migratorius
Tyrannus verticalis,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus verticalis,vert.endo,Bird,Tyrannus verticalis
Vireo bellii,,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo bellii,vert.endo,Bird,Vireo bellii
Vireo gilvus,,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo gilvus,vert.endo,Bird,Vireo gilvus
Vireo vicinior,,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo vicinior,vert.endo,Bird,Vireo vicinior
Xanthocephalus xanthocephalus,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,Xanthocephalus xanthocephalus,vert.endo,Bird,Xanthocephalus xanthocephalus
Zenaida asiatica,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida asiatica,vert.endo,Bird,Zenaida asiatica
Zenaida macroura,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,vert.endo,Bird,Zenaida macroura
Zonotrichia leucophrys,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,Zonotrichia leucophrys,vert.endo,Bird,Zonotrichia leucophrys
Aeronautes saxatalis,,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis,vert.endo,Bird,Aeronautes saxatalis
Catherpes mexicanus,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Catherpes,Catherpes mexicanus,vert.endo,Bird,Catherpes mexicanus
Charadrius vociferus,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,vert.endo,Bird,Charadrius vociferus
Chordeiles acutipennis,,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles acutipennis,vert.endo,Bird,Chordeiles acutipennis
Chordeiles minor,,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,vert.endo,Bird,Chordeiles minor
Cistothorus palustris,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,Cistothorus palustris,vert.endo,Bird,Cistothorus palustris
Contopus cooperi,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus cooperi,vert.endo,Bird,Contopus cooperi
Contopus sordidulus,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus sordidulus,vert.endo,Bird,Contopus sordidulus
Empidonax difficilis,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax difficilis,vert.endo,Bird,Empidonax difficilis
Empidonax oberholseri,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax oberholseri,vert.endo,Bird,Empidonax oberholseri
Empidonax occidentalis,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax occidentalis,vert.endo,Bird,Empidonax occidentalis
Empidonax traillii,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,vert.endo,Bird,Empidonax traillii
Empidonax wrightii,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax wrightii,vert.endo,Bird,Empidonax wrightii
Geothlypis tolmiei,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis tolmiei,vert.endo,Bird,Geothlypis tolmiei
Geothlypis trichas,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas,vert.endo,Bird,Geothlypis trichas
Hirundo rustica,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,vert.endo,Bird,Hirundo rustica
Vermivora celata,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata,vert.endo,Bird,Vermivora celata
Leiothlypis luciae,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis luciae,vert.endo,Bird,Leiothlypis luciae
Leiothlypis virginiae,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis virginiae,vert.endo,Bird,Leiothlypis virginiae
Melanerpes uropygialis,,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes uropygialis,vert.endo,Bird,Melanerpes uropygialis
Petrochelidon pyrrhonota,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,vert.endo,Bird,Petrochelidon pyrrhonota
Phalaenoptilus nuttallii,,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,Phalaenoptilus nuttallii,vert.endo,Bird,Phalaenoptilus nuttallii
Piranga rubra,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga rubra,vert.endo,Bird,Piranga rubra
Polioptila caerulea,,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila caerulea,vert.endo,Bird,Polioptila caerulea
Polioptila melanura,,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila melanura,vert.endo,Bird,Polioptila melanura
Psaltriparus minimus,,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,Psaltriparus minimus,vert.endo,Bird,Psaltriparus minimus
Pyrocephalus rubinus,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,vert.endo,Bird,Pyrocephalus rubinus
Regulus satrapa,,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,Regulus satrapa,vert.endo,Bird,Regulus satrapa
Salpinctes obsoletus,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Salpinctes,Salpinctes obsoletus,vert.endo,Bird,Salpinctes obsoletus
Setophaga graciae,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga graciae,vert.endo,Bird,Setophaga graciae
Setophaga nigrescens,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,vert.endo,Bird,Setophaga nigrescens
Setophaga occidentalis,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga occidentalis,vert.endo,Bird,Setophaga occidentalis
Setophaga petechia,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga petechia,vert.endo,Bird,Setophaga petechia
Stelgidopteryx serripennis,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,Stelgidopteryx serripennis,vert.endo,Bird,Stelgidopteryx serripennis
Tachycineta thalassina,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta thalassina,vert.endo,Bird,Tachycineta thalassina
Thryomanes bewickii,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,Thryomanes bewickii,vert.endo,Bird,Thryomanes bewickii
Troglodytes aedon,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,vert.endo,Bird,Troglodytes aedon
Vireo plumbeus,,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo plumbeus,vert.endo,Bird,Vireo plumbeus
Orthoptera,,Animalia,Arthropoda,Insecta,Orthoptera,NA,NA,NA,invertebrate,Invertebrate,Orthoptera
Odonata,,Animalia,Arthropoda,Insecta,Odonata,NA,NA,NA,invertebrate,Invertebrate,Odonata
Hymenoptera,,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,invertebrate,Invertebrate,Hymenoptera
Uropygi,,Animalia,Arthropoda,Arachnida,Uropygi,NA,NA,NA,invertebrate,Invertebrate,Uropygi
Solifugae,,Animalia,Arthropoda,Arachnida,Solifugae,NA,NA,NA,invertebrate,Invertebrate,Solifugae
Hemiptera,,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,invertebrate,Invertebrate,Hemiptera
Mantodea,,Animalia,Arthropoda,Insecta,Mantodea,NA,NA,NA,invertebrate,Invertebrate,Mantodea
Araneae,,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,invertebrate,Invertebrate,Araneae
Scorpiones,,Animalia,Arthropoda,Arachnida,Scorpiones,NA,NA,NA,invertebrate,Invertebrate,Scorpiones
Pseudoscorpiones,,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,NA,NA,NA,invertebrate,Invertebrate,Pseudoscorpiones
Chilopoda,,Animalia,Arthropoda,NA,NA,NA,NA,NA,invertebrate,Invertebrate,Chilopoda
Opiliones,,Animalia,Arthropoda,Arachnida,Opiliones,NA,NA,NA,invertebrate,Invertebrate,Opiliones
Collembola,,Animalia,Arthropoda,NA,NA,NA,NA,NA,invertebrate,Invertebrate,Collembola
Ephemeroptera,,Animalia,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,invertebrate,Invertebrate,Ephemeroptera
Phasmida,,Animalia,Arthropoda,Insecta,Phasmida,NA,NA,NA,invertebrate,Invertebrate,Phasmida
Diplopoda,,Animalia,Arthropoda,NA,NA,NA,NA,NA,invertebrate,Invertebrate,Diplopoda
Siphonaptera,,Animalia,Arthropoda,Insecta,Siphonaptera,NA,NA,NA,invertebrate,Invertebrate,Siphonaptera
Neuroptera,,Animalia,Arthropoda,Insecta,Neuroptera,NA,NA,NA,invertebrate,Invertebrate,Neuroptera
Thysanoptera,,Animalia,Arthropoda,Insecta,Thysanoptera,NA,NA,NA,invertebrate,Invertebrate,Thysanoptera
Lepidoptera,,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,invertebrate,Invertebrate,Lepidoptera
Blattodea,,Animalia,Arthropoda,Insecta,Blattodea,NA,NA,NA,invertebrate,Invertebrate,Blattodea
Diptera,,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,invertebrate,Invertebrate,Diptera
Dermaptera,,Animalia,Arthropoda,Insecta,Dermaptera,NA,NA,NA,invertebrate,Invertebrate,Dermaptera
Coleoptera,,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,invertebrate,Invertebrate,Coleoptera
Trichoptera,,Animalia,Arthropoda,Insecta,Trichoptera,NA,NA,NA,invertebrate,Invertebrate,Trichoptera
Solanales,,Plantae,Tracheophyta,Magnoliopsida,Solanales,NA,NA,NA,producer,Producer,Solanales
Ephedrales,,Plantae,Tracheophyta,Gnetopsida,Ephedrales,NA,NA,NA,producer,Producer,Ephedrales
Asparagales,,Plantae,Tracheophyta,Liliopsida,Asparagales,NA,NA,NA,producer,Producer,Asparagales
Caryophyllales,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,NA,NA,NA,producer,Producer,Caryophyllales
Fabales,,Plantae,Tracheophyta,Magnoliopsida,Fabales,NA,NA,NA,producer,Producer,Fabales
Rosales,,Plantae,Tracheophyta,Magnoliopsida,Rosales,NA,NA,NA,producer,Producer,Rosales
Pinales,,Plantae,Tracheophyta,Pinopsida,Pinales,NA,NA,NA,producer,Producer,Pinales
Poales,,Plantae,Tracheophyta,Liliopsida,Poales,NA,NA,NA,producer,Producer,Poales
Boraginales,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,NA,NA,NA,producer,Producer,Boraginales
Myrtales,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,NA,NA,NA,producer,Producer,Myrtales
Geraniales,,Plantae,Tracheophyta,Magnoliopsida,Geraniales,NA,NA,NA,producer,Producer,Geraniales
Asterales,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,NA,NA,producer,Producer,Asterales
Brassicales,,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,NA,NA,producer,Producer,Brassicales
Malpighiales,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,NA,NA,NA,producer,Producer,Malpighiales
Malvales,,Plantae,Tracheophyta,Magnoliopsida,Malvales,NA,NA,NA,producer,Producer,Malvales
Lamiales,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,NA,NA,NA,producer,Producer,Lamiales
Crossosomatales,,Plantae,Tracheophyta,Magnoliopsida,Crossosomatales,NA,NA,NA,producer,Producer,Crossosomatales
Fagales,,Plantae,Tracheophyta,Magnoliopsida,Fagales,NA,NA,NA,producer,Producer,Fagales
Ericales,,Plantae,Tracheophyta,Magnoliopsida,Ericales,NA,NA,NA,producer,Producer,Ericales
Zygophyllales,,Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,NA,NA,NA,producer,Producer,Zygophyllales
Gentianales,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,NA,NA,NA,producer,Producer,Gentianales
Polypodiales,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,NA,NA,NA,producer,Producer,Polypodiales
Sapindales,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,NA,NA,NA,producer,Producer,Sapindales
Ranunculales,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,NA,NA,NA,producer,Producer,Ranunculales
Santalales,,Plantae,Tracheophyta,Magnoliopsida,Santalales,NA,NA,NA,producer,Producer,Santalales
Commelinales,,Plantae,Tracheophyta,Liliopsida,Commelinales,NA,NA,NA,producer,Producer,Commelinales
Vitales,,Plantae,Tracheophyta,Magnoliopsida,Vitales,NA,NA,NA,producer,Producer,Vitales
Apiales,,Plantae,Tracheophyta,Magnoliopsida,Apiales,NA,NA,NA,producer,Producer,Apiales
Dipsacales,,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,NA,NA,NA,producer,Producer,Dipsacales
Saxifragales,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,NA,NA,NA,producer,Producer,Saxifragales
Proteales,,Plantae,Tracheophyta,Magnoliopsida,Proteales,NA,NA,NA,producer,Producer,Proteales
Oxalidales,,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,NA,NA,NA,producer,Producer,Oxalidales
Arecales,,Plantae,Tracheophyta,Liliopsida,Arecales,NA,NA,NA,producer,Producer,Arecales
Liliales,,Plantae,Tracheophyta,Liliopsida,Liliales,NA,NA,NA,producer,Producer,Liliales
Celastrales,,Plantae,Tracheophyta,Magnoliopsida,Celastrales,NA,NA,NA,producer,Producer,Celastrales
Cornales,,Plantae,Tracheophyta,Magnoliopsida,Cornales,NA,NA,NA,producer,Producer,Cornales
Cupressales,,Plantae,Tracheophyta,NA,NA,Ullmanniaceae,Ullmannia,NA,producer,Producer,Cupressales
Raphidioptera,,Animalia,Arthropoda,Insecta,Raphidioptera,NA,NA,NA,invertebrate,Invertebrate,Raphidioptera
Garryales,,Plantae,Tracheophyta,Magnoliopsida,Garryales,NA,NA,NA,producer,Producer,Garryales
Piperales,,Plantae,Tracheophyta,Magnoliopsida,Piperales,NA,NA,NA,producer,Producer,Piperales
