Source,Target,Type,Id,Label,Weight
Xerospermophilus mohavensis,Asterales,Directed,117,,1
Xerospermophilus mohavensis,Asparagales,Directed,118,,1
Ovis canadensis,Lamiales,Directed,119,,1
Ovis canadensis,Poales,Directed,120,,1
Ovis canadensis,Zygophyllales,Directed,121,,1
Ovis canadensis,Fabales,Directed,122,,1
Ovis canadensis,Malvales,Directed,123,,1
Ovis canadensis,Caryophyllales,Directed,124,,1
Ovis canadensis,Ephedrales,Directed,125,,1
Ovis canadensis,Gentianales,Directed,126,,1
Ovis canadensis,Polypodiales,Directed,127,,1
Ovis canadensis,Asterales,Directed,128,,1
Ovis canadensis,Boraginales,Directed,129,,1
Ovis canadensis,Solanales,Directed,130,,1
Ovis canadensis,Malpighiales,Directed,131,,1
Ovis canadensis,Ericales,Directed,132,,1
Peromyscus truei,Poales,Directed,133,,1
Peromyscus truei,Asparagales,Directed,134,,1
Peromyscus truei,Asterales,Directed,135,,1
Peromyscus truei,Fabales,Directed,136,,1
Peromyscus truei,Caryophyllales,Directed,137,,1
Peromyscus truei,Brassicales,Directed,138,,1
Peromyscus truei,Malpighiales,Directed,139,,1
Peromyscus truei,Rosales,Directed,140,,1
Peromyscus truei,Ericales,Directed,141,,1
Peromyscus truei,Pinales,Directed,142,,1
Peromyscus truei,Myrtales,Directed,143,,1
Peromyscus truei,Fagales,Directed,144,,1
Peromyscus truei,Sapindales,Directed,145,,1
Neotoma lepida,Asparagales,Directed,146,,1
Neotoma lepida,Caryophyllales,Directed,147,,1
Neotoma lepida,Zygophyllales,Directed,148,,1
Chaetodipus formosus,Poales,Directed,149,,1
Chaetodipus formosus,Asterales,Directed,150,,1
Chaetodipus formosus,Fabales,Directed,151,,1
Chaetodipus formosus,Ephedrales,Directed,152,,1
Chaetodipus formosus,Geraniales,Directed,153,,1
Chaetodipus formosus,Myrtales,Directed,154,,1
Chaetodipus formosus,Boraginales,Directed,155,,1
Chaetodipus formosus,Lamiales,Directed,156,,1
Chaetodipus formosus,Malvales,Directed,157,,1
Thomomys bottae,Poales,Directed,158,,1
Thomomys bottae,Caryophyllales,Directed,159,,1
Thomomys bottae,Rosales,Directed,160,,1
Thomomys bottae,Boraginales,Directed,161,,1
Thomomys bottae,Ranunculales,Directed,162,,1
Thomomys bottae,Asterales,Directed,163,,1
Thomomys bottae,Pinales,Directed,164,,1
Odocoileus hemionus,Fabales,Directed,165,,1
Odocoileus hemionus,Asterales,Directed,166,,1
Odocoileus hemionus,Caryophyllales,Directed,167,,1
Odocoileus hemionus,Boraginales,Directed,168,,1
Odocoileus hemionus,Brassicales,Directed,169,,1
Odocoileus hemionus,Ephedrales,Directed,170,,1
Odocoileus hemionus,Ericales,Directed,171,,1
Odocoileus hemionus,Zygophyllales,Directed,172,,1
Odocoileus hemionus,Malvales,Directed,173,,1
Odocoileus hemionus,Lamiales,Directed,174,,1
Odocoileus hemionus,Sapindales,Directed,175,,1
Odocoileus hemionus,Rosales,Directed,176,,1
Odocoileus hemionus,Malpighiales,Directed,177,,1
Odocoileus hemionus,Solanales,Directed,178,,1
Odocoileus hemionus,Santalales,Directed,179,,1
Odocoileus hemionus,Gentianales,Directed,180,,1
Odocoileus hemionus,Commelinales,Directed,181,,1
Odocoileus hemionus,Poales,Directed,182,,1
Odocoileus hemionus,Ranunculales,Directed,183,,1
Equus asinus,Fabales,Directed,184,,1
Equus asinus,Asterales,Directed,185,,1
Equus asinus,Caryophyllales,Directed,186,,1
Equus asinus,Boraginales,Directed,187,,1
Equus asinus,Brassicales,Directed,188,,1
Equus asinus,Ephedrales,Directed,189,,1
Equus asinus,Geraniales,Directed,190,,1
Equus asinus,Zygophyllales,Directed,191,,1
Equus asinus,Malvales,Directed,192,,1
Equus asinus,Lamiales,Directed,193,,1
Equus asinus,Poales,Directed,194,,1
Equus asinus,Rosales,Directed,195,,1
Notiosorex crawfordi,Malvales,Directed,196,,1
Urocyon cinereoargenteus,Ericales,Directed,197,,1
Urocyon cinereoargenteus,Ranunculales,Directed,198,,1
Urocyon cinereoargenteus,Pinales,Directed,199,,1
Urocyon cinereoargenteus,Rosales,Directed,200,,1
Urocyon cinereoargenteus,Solanales,Directed,201,,1
Urocyon cinereoargenteus,Fabales,Directed,202,,1
Urocyon cinereoargenteus,Caryophyllales,Directed,203,,1
Urocyon cinereoargenteus,Vitales,Directed,204,,1
Urocyon cinereoargenteus,Asparagales,Directed,205,,1
Neotoma lepida,Fabales,Directed,206,,1
Neotoma lepida,Fagales,Directed,207,,1
Neotoma lepida,Lamiales,Directed,208,,1
Neotoma lepida,Pinales,Directed,209,,1
Neotoma lepida,Ephedrales,Directed,210,,1
Neotoma lepida,Brassicales,Directed,211,,1
Neotoma lepida,Asterales,Directed,212,,1
Neotoma lepida,Malvales,Directed,213,,1
Neotoma lepida,Apiales,Directed,214,,1
Dipodomys deserti,Caryophyllales,Directed,215,,1
Dipodomys deserti,Asterales,Directed,216,,1
Dipodomys deserti,Poales,Directed,217,,1
Dipodomys deserti,Fabales,Directed,218,,1
Dipodomys deserti,Malpighiales,Directed,219,,1
Dipodomys deserti,Boraginales,Directed,220,,1
Dipodomys deserti,Geraniales,Directed,221,,1
Dipodomys deserti,Ericales,Directed,222,,1
Dipodomys deserti,Zygophyllales,Directed,223,,1
Dipodomys deserti,Myrtales,Directed,224,,1
Dipodomys deserti,Brassicales,Directed,225,,1
Dipodomys deserti,Ephedrales,Directed,226,,1
Dipodomys deserti,Solanales,Directed,227,,1
Dipodomys deserti,Lamiales,Directed,228,,1
Dipodomys deserti,Asparagales,Directed,229,,1
Dipodomys microps,Caryophyllales,Directed,230,,1
Dipodomys microps,Asterales,Directed,231,,1
Dipodomys microps,Poales,Directed,232,,1
Dipodomys microps,Fabales,Directed,233,,1
Dipodomys microps,Malpighiales,Directed,234,,1
Dipodomys microps,Boraginales,Directed,235,,1
Dipodomys microps,Geraniales,Directed,236,,1
Dipodomys microps,Ericales,Directed,237,,1
Dipodomys microps,Zygophyllales,Directed,238,,1
Dipodomys microps,Myrtales,Directed,239,,1
Dipodomys microps,Brassicales,Directed,240,,1
Dipodomys microps,Ephedrales,Directed,241,,1
Dipodomys microps,Solanales,Directed,242,,1
Dipodomys microps,Lamiales,Directed,243,,1
Dipodomys microps,Asparagales,Directed,244,,1
Equus caballus,Poales,Directed,245,,1
Equus caballus,Asterales,Directed,246,,1
Equus caballus,Caryophyllales,Directed,247,,1
Equus caballus,Malvales,Directed,248,,1
Equus caballus,Dipsacales,Directed,249,,1
Chaetodipus penicillatus,Fabales,Directed,250,,1
Chaetodipus penicillatus,Zygophyllales,Directed,251,,1
Chaetodipus penicillatus,Rosales,Directed,252,,1
Chaetodipus penicillatus,Geraniales,Directed,253,,1
Chaetodipus penicillatus,Caryophyllales,Directed,254,,1
Chaetodipus penicillatus,Poales,Directed,255,,1
Chaetodipus penicillatus,Malpighiales,Directed,256,,1
Chaetodipus penicillatus,Malvales,Directed,257,,1
Chaetodipus spinatus,Fabales,Directed,258,,1
Chaetodipus spinatus,Zygophyllales,Directed,259,,1
Chaetodipus spinatus,Rosales,Directed,260,,1
Chaetodipus spinatus,Geraniales,Directed,261,,1
Chaetodipus spinatus,Caryophyllales,Directed,262,,1
Chaetodipus spinatus,Poales,Directed,263,,1
Chaetodipus spinatus,Malpighiales,Directed,264,,1
Chaetodipus spinatus,Malvales,Directed,265,,1
Tamias panamintinus,Fagales,Directed,266,,1
Tamias panamintinus,Saxifragales,Directed,267,,1
Tamias panamintinus,Proteales,Directed,268,,1
Tamias panamintinus,Rosales,Directed,269,,1
Tamias panamintinus,Lamiales,Directed,270,,1
Tamias panamintinus,Ericales,Directed,271,,1
Tamias panamintinus,Dipsacales,Directed,272,,1
Tamias panamintinus,Caryophyllales,Directed,273,,1
Tamias panamintinus,Gentianales,Directed,274,,1
Tamias panamintinus,Poales,Directed,275,,1
Tamias panamintinus,Geraniales,Directed,276,,1
Tamias panamintinus,Pinales,Directed,277,,1
Otospermophilus variegatus,Sapindales,Directed,278,,1
Otospermophilus variegatus,Poales,Directed,279,,1
Otospermophilus variegatus,Asterales,Directed,280,,1
Otospermophilus variegatus,Saxifragales,Directed,281,,1
Otospermophilus variegatus,Fagales,Directed,282,,1
Otospermophilus variegatus,Caryophyllales,Directed,283,,1
Otospermophilus variegatus,Rosales,Directed,284,,1
Otospermophilus variegatus,Ephedrales,Directed,285,,1
Otospermophilus variegatus,Malpighiales,Directed,286,,1
Otospermophilus variegatus,Boraginales,Directed,287,,1
Otospermophilus variegatus,Fabales,Directed,288,,1
Otospermophilus variegatus,Asparagales,Directed,289,,1
Otospermophilus variegatus,Pinales,Directed,290,,1
Peromyscus eremicus,Poales,Directed,291,,1
Peromyscus eremicus,Asparagales,Directed,292,,1
Peromyscus eremicus,Asterales,Directed,293,,1
Peromyscus eremicus,Fabales,Directed,294,,1
Peromyscus eremicus,Caryophyllales,Directed,295,,1
Peromyscus eremicus,Brassicales,Directed,296,,1
Peromyscus eremicus,Malpighiales,Directed,297,,1
Peromyscus eremicus,Rosales,Directed,298,,1
Peromyscus eremicus,Ericales,Directed,299,,1
Peromyscus eremicus,Pinales,Directed,300,,1
Peromyscus eremicus,Myrtales,Directed,301,,1
Peromyscus eremicus,Fagales,Directed,302,,1
